,Full Design,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
652,1.10E+35,714,0.15,-0.784313725,0.4,0.6
653,1.00E+35,0,0.127238239,-0.611957019,0.8,1
665,1.00E+34,0,0.1998,-1.96E-05,0.6,0.3
666,1.00E+35,0,0.1998,-1.13E-05,0.4,0.6
672,1.00E+35,123,0.122654092,-0.598157577,1,1
676,1.10E+31,0,0.1998,-1.77E-05,0.4,0.3
678,1.00E+35,0,0.1998,-1.70E-05,0.6,0.4
683,1.00E+35,190,0.140805279,-0.676158164,0.4,1
684,1.00E+33,0,0.1998,-1.77E-05,0.8,0.2
685,1.00E+32,0,0.16511194,-0.475606816,0.4,1
720,1.00E+27,0,0.1998,-2.40E-05,0.8,0.5
727,1.00E+28,0,0.1998,-1.77E-05,0.4,0.6
754,1.01E+30,0,0.1998,-2.40E-05,0.8,0.5
756,1.11E+35,873,0.1,-0.701626276,0.6,0.6
757,1.11E+35,1085,0.020019644,-0.56513852,0.4,0.8
758,1.01E+35,474,0.061773617,-0.606192991,0.4,1
760,1.00E+34,0,0.1998,-1.96E-05,0.4,0.5
765,1.00E+35,0,0.1998,-1.30E-05,0.6,0.6
773,1.00E+33,0,0.1998,-1.28E-05,0.4,0.7
777,1.00E+26,0,0.1998,-2.18E-05,0.6,0.4
781,1.10E+35,0,0.159998877,-0.44041449,0.6,0.7
784,1.10E+33,642,4.44E-17,-0.431679787,0.8,0.8
787,1.00E+33,112,0.253909757,-0.173075991,0.6,0.9
793,1.01E+35,582,0.1,-0.701626276,0.6,0.6
799,1.00E+29,0,0.1998,-1.52E-05,0.4,0.6
809,1.00E+27,0,0.1998,-2.50E-05,1,1.11E-16
812,1.01E+30,0,0.1998,-2.07E-05,0.6,0.5
817,1.00E+28,0,0.1998,-1.28E-05,0.4,0.5
820,1.00E+28,0,0.1998,-2.05E-05,0.8,0.4
833,1.00E+35,0,0.1998,-1.58E-05,0.6,0.6
836,1.10E+27,0,0.1998,-1.41E-05,0.6,0.5
844,1.01E+35,1379,0.048419093,-0.630526062,0.4,0.8
850,1.01E+35,1352,2.22E-17,-0.549128145,1,0.8
866,1.00E+35,0,0.1998,-2.65E-05,1,0.3
868,1.01E+34,0,0.1998,-1.86E-05,0.6,0.6
878,1.00E+33,0,0.1998,-1.73E-05,1,0.8
882,1.01E+35,893,0.123056137,-0.731394264,0.4,1
885,1.00E+30,0,0.1998,-1.26E-05,0.4,0.7
893,1.01E+35,1328,0.060555879,-0.632952452,0.6,1
907,1.01E+35,673,0.001899595,-0.421247786,1,1
908,1.10E+34,0,0.1998,-1.29E-05,0.4,0.7
923,1.01E+35,1163,0.033657572,-0.573643281,0.6,0.8
934,1.10E+24,0,0.1998,-2.12E-05,0.8,0.5
966,1.01E+35,1172,0.08035221,-0.671806728,0.6,0.8
978,1.00E+27,0,0.1998,-2.77E-05,1,1.11E-16
981,1.10E+35,190,0.122094841,-0.578039712,0.4,0.9
985,1.01E+35,1500,0.034850475,-0.609043185,0.8,0.8
988,1.01E+31,0,0.1998,-2.54E-05,1,1.11E-16
1009,1.00E+31,0,0.1998,-1.77E-05,0.6,0.5
1032,1.01E+31,0,0.1998,-1.45E-05,0.4,0.6
1039,1.00E+35,0,0.1998,-1.41E-05,0.8,0.7
1064,1.01E+35,1218,0.041948359,-0.590502527,1,0.8
1065,1.01E+35,1110,0.095639759,-0.678374253,0.4,1
1068,1.00E+34,0,0.1998,-1.62E-05,0.4,0.7
1074,1.00E+30,0,0.1998,-3.39E-05,0.6,1.11E-16
1091,1.01E+35,1132,0.11279208,-0.723501718,0.4,0.9
1101,1.01E+35,1023,0.11279208,-0.723501718,0.6,0.8
1107,1.10E+32,0,0.1998,-1.35E-05,0.6,0.9
1116,1.00E+29,0,0.1998,-1.77E-05,0.6,0.5
1154,1.00E+24,0,0.180178728,-0.372025212,0.6,0.6
1175,1.01E+35,1809,0,-0.532481185,0.6,0.8
1181,1.00E+32,0,0.1998,-1.86E-05,0.4,0.5
1186,1.00E+28,0,0.1998,-5.30E-05,1,1.11E-16
1222,1.10E+32,0,0.1998,-2.12E-05,0.8,0.4
1225,1.00E+33,0,0.1998,-1.65E-05,0.6,0.4
1240,1.11E+35,892,0.11279208,-0.704352911,0.4,0.7
1242,1.11E+33,0,0.1998,-1.11E-05,0.6,0.7
1244,1.00E+35,0,0.1998,-2.25E-05,0.8,0.3
